collector,specimen_ID,genus,species,order,sex,mass (g),day,date_ISO,time,timezone,country,departament,municipio,locality,longitude,latitude,elevation,ectoparasite_sample,ectoparsite_ sampling_method,ecotparasite_box_location_ cold_storage,ectoparasites_box,lice_total,feather_mites_total,ticks_total,flies_total,fleas_total
GAL,1,Chloroceryle,inda,Coraciiformes,U,52,Sun,2014-11-16,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"P2,I8",2.0,0.0,0,0,0
GAL,2,Turdus,ignobilis,Passeriformes,U,45.8,Tue,2014-10-28,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"P2,G2",30.0,0.0,0,0,0
GAL,2,Ramphocelus,carbo,Passeriformes,U,23,Fri,2015-3-27,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"P2,G6",4.0,0.0,0,0,0
GAL,2,Chloroceryle,aenea,Coraciiformes,U,12.75,Fri,2015-3-27,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"E1,J8",0.0,0.0,0,0,0
GAL,2,Coccycua,minuta,Cuculiformes,U,34,Fri,2015-3-27,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"E1,J10",0.0,0.0,0,0,0
GAL,2,Chloroceryle,aenea,Coraciiformes,U,12.75,Fri,2015-3-27,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"E1,J8;P2,H4",3.0,0.0,0,0,0
GAL,2,Turdus,ignobilis,Passeriformes,U,45.8,Tue,2014-10-28,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"P2,G2;P2,J4",30.0,0.0,0,0,0
GAL,3,Dendroplex,picus,Passeriformes,U,35,Tue,2014-8-5,00:00:00,PDT,Colombia,Meta,Villavicencio,Villavicencio,NA,NA,420,YES,powder,Universidad Icesi,"E1,H4",0.0,0.0,6,0,0
GAL,3,Ramphocelus,carbo,Passeriformes,U,21.95,Wed,2014-10-29,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"P2,H6",8.0,0.0,0,0,0
GAL,4,Ramphocelus,carbo,Passeriformes,U,22,Fri,2013-3-8,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,B5",8.0,0.0,0,0,0
GAL,6,Turdus,nudigenis,Passeriformes,U,59,Sun,2013-3-10,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,E6",9.0,0.0,0,0,0
GAL,6,Sturnella,militaris,Passeriformes,U,51,Thu,2015-3-26,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"E1,J7",0.0,0.0,1,0,0
GAL,11,Piaya,cayana,Cuculiformes,U,95,Sun,2013-3-10,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,C5",16.0,0.0,0,0,0
GAL,19,Dendrocincla,fuliginosa,Passeriformes,U,33,Mon,2014-5-5,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"E1,J3",0.0,over 5,0,0,0
GAL,20,Ramphocelus,carbo,Passeriformes,U,30,Sat,2014-8-9,00:00:00,PDT,Colombia,Meta,Villavicencio,Villavicencio,NA,NA,420,YES,powder,Universidad Icesi,"P2,a4",4.0,0.0,0,0,0
GAL,20,Ramphocelus,carbo,Passeriformes,U,51,Thu,2015-3-26,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"P2,G8",4.0,0.0,0,0,0
GAL,21,Dendrocincla,fuliginosa,Passeriformes,U,43.5,Wed,2014-8-6,00:00:00,PDT,Colombia,Meta,Villavicencio,Villavicencio,NA,NA,420,YES,powder,Universidad Icesi,"E1,H2",0.0,many,0,0,0
GAL,21,Ramphocelus,carbo,Passeriformes,U,,Sat,2014-8-9,00:00:00,PDT,Colombia,Meta,Villavicencio,Villavicencio,NA,NA,420,YES,powder,Universidad Icesi,"E1,H3",0.0,few,0,0,0
GAL,21,Elaenia,flavogaster,Passeriformes,U,24,Tue,2014-5-20,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"P2,G4",2.0,0.0,0,0,0
GAL,23,Calidris,minuta,Charadriiformes,U,21.5,Thu,2015-3-26,00:00:00,PDT,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,141,YES,powder,Universidad Icesi,"P2,G7",10.0,0.0,0,0,0
GAL,24,Ramphocelus,carbo,Passeriformes,U,,Mon,2015-1-12,00:00:00,PST,Colombia,Guaviare,SanJoseDelGuaviare,San Jose del Guaviare,NA,NA,NA,YES,powder,Universidad Icesi,"P2,a2",8.0,2.0,0,0,0
GAL,28,Leptopogon,amaurocephalus,Passeriformes,U,12.25,Tue,2013-12-3,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,C9",27.0,0.0,0,0,0
